#obj	aplha 	delta	P_orb	T0 
BS_Tri	32.37421	28.54143	0	0
IP_Peg	350.78557	18.41645	0.15820609	2459545.938
IP_PEG	350.78555	18.41645	0.15820609	2459545.938
EP_Dra	286.77578	69.14552	0	0
EX_Dra	271.05937	67.90341	0.2099366	 2457106.45409 
J0227+1306	36.88694	13.10475	0	0
J0227p1306	36.88694	13.10475	0	0
V1309_Ori	78.92255	1.07791	0.332612	24450339.4343
V1309Ori	78.92255	1.07791	0.332612	24450339.4343
V808_Aur	107.85836	44.06808	0.081376	2455126.896
V808Aur	107.85836	44.06808	0.081376	2455126.896
J0545+0221	86.49276	2.35178	0.1209716	2459546.043
J0545p0221	86.49276	2.35178	0.1209716	2459546.043
J0545	86.49276	2.35178	0.1209716	2459546.043
VV_Pup	123.77834	-19.05493	0.0697468256	2459546.127
J0750+1411	117.74989	14.19729	0	0
J0750p1411	117.74989	14.19729	0	0
HS_Cam	109.81048	65.96230	0	0
GY_Cnc	137.46059	18.82984	0.1754424988	2459629.89618 
V1239_Her	255.55519	32.49838	0	0
V1007_Her	261.02621	41.23547	0	0
V1007Her	261.02621	41.23547	0	0
V2301_Oph	270.14805	8.17053	0	0
J1927+4447	291.95221	44.79013	0	0
J1927p4447	291.95221	44.79013	0	0
HU_Aqr	316.99248	-5.29460	0.0868204162	2459546.024
