#Date_c	Object	Green(number of frames)	Red(number of frames) 
20200127_c	EX_Dra	3	0
20200127_c	IP_Peg	3	0
20200127_c	V1309_Ori	3	0
20200131_c	V1309_Ori	4	0
20200210_c	EX_Dra	3	0
20200210_c	GY_Cnc	9	0
20200210_c	IP_Peg	3	0
20200210_c	V1309_Ori	3	0
20200210_c	V808Aur	3	0
20200210_c	VV_Pup	3	0
20211021_c	EX_Dra	5	5
20211021_c	HU_Aqr	5	5
20211021_c	IP_Peg	5	5
20211021_c	J0545	2	5
20211022_c	EX_Dra	5	5
20211022_c	HU_Aqr	5	5
20211022_c	IP_Peg	5	5
20211022_c	J0545	1	5
20211022_c	V808Aur	0	3
20211029_c	EX_Dra	5	5
20211029_c	IP_Peg	5	5
20211029_c	V1309_Ori	6	8
20211029_c	V808Aur	5	5
20211029_c	VV_Pup	7	7
20211108_c	EX_Dra	8	8
20211108_c	HU_Aqr	4	4
20211108_c	IP_Peg	8	8
20211108_c	J0545	5	5
20211108_c	V1309_Ori	6	6
20211112_c	EX_Dra	4	4
20211112_c	IP_Peg	6	6
20211112_c	J0545	4	4
20211112_c	V1309_Ori	5	5
20211112_c	V808Aur	4	4
20211202_c	J0545	6	6
20211202_c	V1309_Ori	5	5
20211202_c	V808Aur	6	6
20220211_c	EX_Dra	10	10
20220211_c	GY_Cnc	9	9
20220211_c	IP_Peg	7	8
20220211_c	J0545	11	11
20220211_c	V808Aur	9	9
20220222_c	GY_Cnc	9	9
20220222_c	IP_Peg	4	3
20220222_c	V808Aur	9	9
20220328_c	EX_Dra	7	7
20220328_c	GY_Cnc	7	7
20220328_c	V808Aur	7	7
20220330_c	EX_Dra	7	7
20220330_c	GY_Cnc	11	11
20220330_c	V808Aur	7	7
20220407_c	EX_Dra	8	7
20220407_c	GY_Cnc	7	7
20220407_c	V808Aur	7	7
20220409_c	EX_Dra	7	7
20220409_c	GY_Cnc	8	7
20220409_c	V808Aur	7	7
20220409_c	VV_Pup	5	4
20220411_c	VV_Pup	7	7
20220416_c	EX_Dra	7	7
20220416_c	GY_Cnc	7	7
20220416_c	V808Aur	7	7
20220416_c	VV_Pup	7	7
20220424_c	EX_Dra	14	13
20220424_c	GY_Cnc	7	7
20220424_c	V808Aur	7	7
20220425_c	EX_Dra	19	18
20220425_c	GY_Cnc	7	7
20220425_c	HU_Aqr	7	7
20220425_c	J0545	3	3
20220425_c	V808Aur	7	7
20220425_c	VV_Pup	1	2
20220426_c	EX_Dra	7	7
20220426_c	GY_Cnc	7	7
20220426_c	HU_Aqr	7	7
20220426_c	V808Aur	7	7
